phase,mode,artifact,status,scenario,case,shape,size,restickify_count,total_bytes,ring_rows,ring_total_bytes,ring_total_byte_hops,ring_avg_hops,ring_max_hops,ring_source_kinds,ring_skip_reasons,ring_exact_rows,ring_skipped_rows,median_ms,p10_ms,p90_ms,error_type,error
telemetry,base,base-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,128x128,128,2,65536,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,128x128,128,1,32768,1,32768,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,128x128,128,2,65536,2,65536,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,view_chain,transpose_4d_chain,1x4x128x64,128,1,65536,1,65536,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=128,hidden=128,out=128",128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,512x512,512,2,1048576,2,1048576,1376256,1.3125,7,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,512x512,512,1,524288,1,524288,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,512x512,512,2,1048576,2,1048576,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,view_chain,transpose_4d_chain,1x4x512x64,512,1,262144,1,262144,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=512,hidden=512,out=512",512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,2048x2048,2048,2,16777216,2,16777216,67108864,4.0,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,2048x2048,2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,view_chain,transpose_4d_chain,1x4x2048x64,2048,1,1048576,1,1048576,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-core/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=2048,hidden=2048,out=2048",2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-long/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=65536,hidden=512",65536,2,134217728,2,134217728,0,0.0,0,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=512,hidden=512",512,2,1048576,2,1048576,1376256,1.3125,7,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=512,hidden=512",512,2,1048576,2,1048576,1376256,1.3125,7,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,mlp_model_slice,mlp_gated_projection_join,"tokens=512,hidden=512,intermediate=512",512,2,1048576,2,1048576,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,attention_model_slice,attention_prefill_no_softmax,"batch=1,heads=4,seq=512,head_dim=64",512,2,2359296,2,2359296,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,attention_forward_block_stress,attention_score_join_value_projection,"tokens=512,hidden=2048",512,2,2621440,2,2621440,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,mamba_model_slice,mamba_chunk_projection_join,"batch=1,seq=512,hidden=512",512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,moe_model_slice,moe_two_expert_join,"tokens=512,hidden=512,experts=2",512,2,1048576,2,1048576,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,prefill_model_slice,prefill_projection_join,"tokens=2048,hidden=512",2048,2,4194304,2,4194304,16777216,4.0,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,decode_model_slice,decode_projection_join,"active_tokens=2048,hidden=512",2048,2,4194304,2,4194304,16777216,4.0,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,mlp_model_slice,mlp_gated_projection_join,"tokens=2048,hidden=512,intermediate=512",2048,2,4194304,2,4194304,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,attention_model_slice,attention_prefill_no_softmax,"batch=1,heads=4,seq=2048,head_dim=64",2048,2,34603008,2,34603008,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,attention_forward_block_stress,attention_score_join_value_projection,"tokens=2048,hidden=2048",2048,2,16777216,2,16777216,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,mamba_model_slice,mamba_chunk_projection_join,"batch=1,seq=2048,hidden=512",2048,1,2097152,1,2097152,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,base,base-model/restickify_scenarios.jsonl,ok,moe_model_slice,moe_two_expert_join,"tokens=2048,hidden=512,experts=2",2048,2,4194304,2,4194304,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,128x128,128,2,65536,2,65536,286720,4.375,16,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,128x128,128,1,32768,1,32768,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,128x128,128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,128x128,128,2,65536,2,65536,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,view_chain,transpose_4d_chain,1x4x128x64,128,1,65536,1,65536,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=128,hidden=128,out=128",128,1,32768,1,32768,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,producer_to_matmul,adds_then_matmul,512x512,512,2,1048576,2,1048576,655360,0.625,3,"{""graph_input_or_weight"": 1, ""in_graph_computed"": 1}","{""graph-input-or-missing-producer"": 1}",1,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_to_pointwise,matmul_then_add,512x512,512,1,524288,1,524288,0,0.0,0,"{""in_graph_computed"": 1}","{""incomplete-symbol-map"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,view_chain,transpose_chain,512x512,512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,fanout_diamond,fanout_diamond,512x512,512,2,1048576,2,1048576,0,0.0,0,"{""graph_input_or_weight"": 2}","{""graph-input-or-missing-producer"": 2}",0,2,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,view_chain,transpose_4d_chain,1x4x512x64,512,1,262144,1,262144,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,graph_input_or_weight,linear_weight_transposed,"tokens=512,hidden=512,out=512",512,1,524288,1,524288,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_transpose_add,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,pointwise_mixed_layout,pointwise_three_mixed,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_lhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
telemetry,stage3b,stage3b-core/restickify_scenarios.jsonl,ok,matmul_fixed_stick,matmul_rhs_wrong_stick,2048x2048,2048,1,8388608,1,8388608,0,0.0,0,"{""graph_input_or_weight"": 1}","{""graph-input-or-missing-producer"": 1}",0,1,,,,,
