variant,bundle,sdsc,op,n_shape,compute_split,tensor,role,component,layout,address,coord_core_map_len,comm_class,note
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_72z2kyes,sdsc_16,batchmatmul,"x_=32,mb_=512,out_=128,in_=512",mb:32,Tensor0,INPUT,lx,"x,in,mb",0x90000,0,lx_input_same_view,input stays in LX without cross-core remap metadata
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_72z2kyes,sdsc_16,batchmatmul,"x_=32,mb_=512,out_=128,in_=512",mb:32,Tensor1,KERNEL,hbm,"out,in,x",0x400000,0,missing_matmul_operand_collective,"attention value operand remains HBM; planner classifies as all_gather_replicate, not resident relayout"
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_72z2kyes,sdsc_16,batchmatmul,"x_=32,mb_=512,out_=128,in_=512",mb:32,Tensor2,OUTPUT,lx,"out,mb,x",0x0,0,lx_output,output produced in LX
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_72z2kyes,sdsc_8,batchmatmul,"x_=512,mb_=32,out_=512,in_=128","out:2,x:16",Tensor0,INPUT,hbm,"mb,in,x","16 addrs, first=0x0",0,hbm_input_roundtrip_candidate,consumer input read from HBM rather than LX
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_72z2kyes,sdsc_8,batchmatmul,"x_=512,mb_=32,out_=512,in_=128","out:2,x:16",Tensor1,KERNEL,hbm,"mb,out,in","2 addrs, first=0xc00000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_72z2kyes,sdsc_8,batchmatmul,"x_=512,mb_=32,out_=512,in_=128","out:2,x:16",Tensor2,OUTPUT,hbm,"out,x,mb","32 addrs, first=0x1000000",0,hbm_output_spill,producer output materialized in HBM
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable_add_linear_mul_rms_norm_transpose_view_2_cqhp_h68,sdsc_1,batchmatmul,"mb_=512,out_=4096,in_=4096","mb:4,out:8",Tensor0,INPUT,hbm,"in,mb","4 addrs, first=0x800000",0,hbm_input_roundtrip_candidate,consumer input read from HBM rather than LX
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable_add_linear_mul_rms_norm_transpose_view_2_cqhp_h68,sdsc_1,batchmatmul,"mb_=512,out_=4096,in_=4096","mb:4,out:8",Tensor1,KERNEL,hbm,"in,out","8 addrs, first=0x3400000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
baseline_off,sdsc_fused__scaled_dot_product_fused_attention_overrideable_add_linear_mul_rms_norm_transpose_view_2_cqhp_h68,sdsc_1,batchmatmul,"mb_=512,out_=4096,in_=4096","mb:4,out:8",Tensor2,OUTPUT,hbm,"out,mb","32 addrs, first=0x2000000",0,hbm_output_spill,producer output materialized in HBM
baseline_off,sdsc_fused_add_linear_mul_silu_split_with_sizes_3_2zutqjow,sdsc_1,batchmatmul,"mb_=512,out_=25600,in_=4096","mb:4,out:8",Tensor0,INPUT,hbm,"mb,in","4 addrs, first=0x0",0,hbm_input_roundtrip_candidate,consumer input read from HBM rather than LX
baseline_off,sdsc_fused_add_linear_mul_silu_split_with_sizes_3_2zutqjow,sdsc_1,batchmatmul,"mb_=512,out_=25600,in_=4096","mb:4,out:8",Tensor1,KERNEL,hbm,"in,out","8 addrs, first=0x5400000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
baseline_off,sdsc_fused_add_linear_mul_silu_split_with_sizes_3_2zutqjow,sdsc_1,batchmatmul,"mb_=512,out_=25600,in_=4096","mb:4,out:8",Tensor2,OUTPUT,hbm,"out,mb","32 addrs, first=0x3400000",0,hbm_output_spill,producer output materialized in HBM
baseline_off,sdsc_fused_add_linear_mul_silu_split_with_sizes_3_2zutqjow,sdsc_5,batchmatmul,"mb_=512,out_=4096,in_=12800","mb:8,out:4",Tensor0,INPUT,hbm,"mb,in","8 addrs, first=0x1000000",0,hbm_input_roundtrip_candidate,consumer input read from HBM rather than LX
baseline_off,sdsc_fused_add_linear_mul_silu_split_with_sizes_3_2zutqjow,sdsc_5,batchmatmul,"mb_=512,out_=4096,in_=12800","mb:8,out:4",Tensor1,KERNEL,hbm,"in,out","4 addrs, first=0x5400000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
baseline_off,sdsc_fused_add_linear_mul_silu_split_with_sizes_3_2zutqjow,sdsc_5,batchmatmul,"mb_=512,out_=4096,in_=12800","mb:8,out:4",Tensor2,OUTPUT,hbm,"out,mb","32 addrs, first=0xc00000",0,hbm_output_spill,producer output materialized in HBM
baseline_off,sdsc_fused_linear_rms_norm_0_qceujboj,sdsc_7,batchmatmul,"mb_=512,out_=6144,in_=4096","mb:4,out:8",Tensor0,INPUT,hbm,"mb,in","4 addrs, first=0x0",0,hbm_input_roundtrip_candidate,consumer input read from HBM rather than LX
baseline_off,sdsc_fused_linear_rms_norm_0_qceujboj,sdsc_7,batchmatmul,"mb_=512,out_=6144,in_=4096","mb:4,out:8",Tensor1,KERNEL,hbm,"in,out","8 addrs, first=0x400000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
baseline_off,sdsc_fused_linear_rms_norm_0_qceujboj,sdsc_7,batchmatmul,"mb_=512,out_=6144,in_=4096","mb:4,out:8",Tensor2,OUTPUT,hbm,"out,mb","32 addrs, first=0x1400000000",0,hbm_output_spill,producer output materialized in HBM
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_10,batchmatmul,"x_=512,mb_=32,out_=512,in_=128","out:2,x:16",Tensor0,INPUT,lx,"mb,in,x",0x100000,32,scatter,input already in LX with producer coordinate map; backend inserted resident relayout
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_10,batchmatmul,"x_=512,mb_=32,out_=512,in_=128","out:2,x:16",Tensor1,KERNEL,hbm,"mb,out,in","2 addrs, first=0x400000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_10,batchmatmul,"x_=512,mb_=32,out_=512,in_=128","out:2,x:16",Tensor2,OUTPUT,lx,"out,x,mb",0x80000,0,lx_output,output produced in LX
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_18,batchmatmul,"x_=32,mb_=512,out_=128,in_=512",mb:32,Tensor0,INPUT,lx,"x,in,mb",0x90000,0,lx_input_same_view,input stays in LX without cross-core remap metadata
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_18,batchmatmul,"x_=32,mb_=512,out_=128,in_=512",mb:32,Tensor1,KERNEL,hbm,"out,in,x",0x800000,0,missing_matmul_operand_collective,"attention value operand remains HBM; planner classifies as all_gather_replicate, not resident relayout"
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_18,batchmatmul,"x_=32,mb_=512,out_=128,in_=512",mb:32,Tensor2,OUTPUT,lx,"out,mb,x",0x0,0,lx_output,output produced in LX
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_21,batchmatmul,"mb_=512,out_=4096,in_=4096","mb:4,out:8",Tensor0,INPUT,lx,"in,mb",0x40000,32,scatter,input already in LX with producer coordinate map; backend inserted resident relayout
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_21,batchmatmul,"mb_=512,out_=4096,in_=4096","mb:4,out:8",Tensor1,KERNEL,hbm,"in,out","8 addrs, first=0xc00000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
dldsc_full_torch_lx,sdsc_fused__scaled_dot_product_fused_attention_overrideable__unsafe_view_clone_expand_linear_mul_split_with_sizes_sum_transpose_unsqueeze_view_1_kksuzzc9,sdsc_21,batchmatmul,"mb_=512,out_=4096,in_=4096","mb:4,out:8",Tensor2,OUTPUT,lx,"out,mb",0x20000,0,lx_output,output produced in LX
dldsc_full_torch_lx,sdsc_fused_add_linear_mul_rms_norm_silu_split_with_sizes_2_1baqouvz,sdsc_13,batchmatmul,"mb_=512,out_=4096,in_=12800","mb:8,out:4",Tensor0,INPUT,lx,"mb,in",0x190000,32,scatter,input already in LX with producer coordinate map; backend inserted resident relayout
dldsc_full_torch_lx,sdsc_fused_add_linear_mul_rms_norm_silu_split_with_sizes_2_1baqouvz,sdsc_13,batchmatmul,"mb_=512,out_=4096,in_=12800","mb:8,out:4",Tensor1,KERNEL,hbm,"in,out","4 addrs, first=0x3000000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
dldsc_full_torch_lx,sdsc_fused_add_linear_mul_rms_norm_silu_split_with_sizes_2_1baqouvz,sdsc_13,batchmatmul,"mb_=512,out_=4096,in_=12800","mb:8,out:4",Tensor2,OUTPUT,lx,"out,mb",0x64000,0,lx_output,output produced in LX
dldsc_full_torch_lx,sdsc_fused_add_linear_mul_rms_norm_silu_split_with_sizes_2_1baqouvz,sdsc_9,batchmatmul,"mb_=512,out_=25600,in_=4096","mb:4,out:8",Tensor0,INPUT,lx,"mb,in",0x20000,32,scatter,input already in LX with producer coordinate map; backend inserted resident relayout
dldsc_full_torch_lx,sdsc_fused_add_linear_mul_rms_norm_silu_split_with_sizes_2_1baqouvz,sdsc_9,batchmatmul,"mb_=512,out_=25600,in_=4096","mb:4,out:8",Tensor1,KERNEL,hbm,"in,out","8 addrs, first=0x3000000",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
dldsc_full_torch_lx,sdsc_fused_add_linear_mul_rms_norm_silu_split_with_sizes_2_1baqouvz,sdsc_9,batchmatmul,"mb_=512,out_=25600,in_=4096","mb:4,out:8",Tensor2,OUTPUT,lx,"out,mb",0xc8000,0,lx_output,output produced in LX
dldsc_full_torch_lx,sdsc_fused_linear_rms_norm_0_nmecuyoi,sdsc_8,batchmatmul,"mb_=512,out_=6144,in_=4096","mb:4,out:8",Tensor0,INPUT,lx,"mb,in",0x20000,32,scatter,input already in LX with producer coordinate map; backend inserted resident relayout
dldsc_full_torch_lx,sdsc_fused_linear_rms_norm_0_nmecuyoi,sdsc_8,batchmatmul,"mb_=512,out_=6144,in_=4096","mb:4,out:8",Tensor1,KERNEL,hbm,"in,out","8 addrs, first=0x0",0,hbm_kernel_operand,ordinary HBM kernel/weight operand or unfixed operand
dldsc_full_torch_lx,sdsc_fused_linear_rms_norm_0_nmecuyoi,sdsc_8,batchmatmul,"mb_=512,out_=6144,in_=4096","mb:4,out:8",Tensor2,OUTPUT,lx,"out,mb",0x180000,0,lx_output,output produced in LX
