file,op,cores,work_slices,classified,classification,communication_class,restickify_op
sdsc_0.json,0_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_1.json,1_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_2.json,2_ReStickifyOpLx,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_3.json,3_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",True,layout_allgather_restickify,all_gather,ReStickifyOpLx
sdsc_4.json,4_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_5.json,5_max,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_6.json,6_maximum,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_7.json,7_sub,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_8.json,8_exp,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_9.json,9_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_10.json,10_sub,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_11.json,11_exp,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_12.json,12_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",False,,,
sdsc_13.json,13_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_14.json,14_mul,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_15.json,15_sum,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_16.json,16_add,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_17.json,17_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_18.json,18_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_19.json,19_ReStickifyOpLx,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_20.json,20_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",True,layout_allgather_restickify,all_gather,ReStickifyOpLx
sdsc_21.json,21_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_22.json,22_max,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_23.json,23_maximum,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_24.json,24_sub,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_25.json,25_exp,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_26.json,26_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_27.json,27_sub,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_28.json,28_exp,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_29.json,29_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",False,,,
sdsc_30.json,30_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_31.json,31_mul,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_32.json,32_sum,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_33.json,33_add,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_34.json,34_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_35.json,35_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_36.json,36_ReStickifyOpLx,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_37.json,37_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",True,layout_allgather_restickify,all_gather,ReStickifyOpLx
sdsc_38.json,38_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_39.json,39_max,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_40.json,40_maximum,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_41.json,41_sub,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_42.json,42_exp,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_43.json,43_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_44.json,44_sub,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_45.json,45_exp,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_46.json,46_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",False,,,
sdsc_47.json,47_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_48.json,48_mul,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_49.json,49_sum,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_50.json,50_add,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_51.json,51_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_52.json,52_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_53.json,53_ReStickifyOpLx,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_54.json,54_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",True,layout_allgather_restickify,all_gather,ReStickifyOpLx
sdsc_55.json,55_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_56.json,56_max,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_57.json,57_maximum,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_58.json,58_sub,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_59.json,59_exp,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_60.json,60_mul,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_61.json,61_sub,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_62.json,62_exp,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_63.json,63_batchmatmul,32,"{""in"": 1, ""mb"": 8, ""out"": 1, ""x"": 4}",False,,,
sdsc_64.json,64_add,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_65.json,65_mul,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
sdsc_66.json,66_sum,32,"{""mb"": 4, ""out"": 1, ""x"": 8}",False,,,
sdsc_67.json,67_add,32,"{""mb"": 4, ""out"": 8, ""y"": 1}",False,,,
